Bin,Category,Part,Description,Cost,,
,TLL Logic,74LS76,Dual JK flip-flop with preset and clear,$0.80 ,,
,TLL Logic,74LS83,4-bit Binary full adder,$0.70 ,,
,TLL Logic,74LS85,4-bit magnitude comparator,$0.60 ,,
,TLL Logic,74LS86,Quad 2-input XOR,$0.50 ,,
,TLL Logic,74LS90,Decade counter,$0.80 ,,
,TLL Logic,74LS91,8-bit Shift Register,$1.30 ,,
,TLL Logic,74LS92,Divide-by-12 counter,$0.70 ,,
,TLL Logic,74LS93,4-bit Binary Counter,$0.60 ,,
,TLL Logic,74LS95,4-bit shift register,$1.20 ,,
,TLL Logic,74LS107,Dual JK flip-flop with clear,$0.40 ,,
,TLL Logic,74LS109,Dual JK pos edge triggered flip-flop,$0.40 ,,
,TLL Logic,74LS112,Dual JK edge triggered flip-flop,$0.60 ,,
,TLL Logic,74121,Monostable multivibrator,$0.90 ,,
,TLL Logic,74LS123,Retrig Monostable Multivibrator,$0.60 ,,
,TLL Logic,74LS125,Quad 3-state bus buffer,$0.70 ,,
,TLL Logic,74LS132,Quad 2-input pos NAND (Schmitt Trigger),$0.60 ,,
,TLL Logic,74LS133,13-input NAND,$0.70 ,,
,TLL Logic,74LS136,Quad 2-input XOR (OC),$0.70 ,,
,TLL Logic,74LS138,3-to-8 line decoder/demux,$0.60 ,,
,TLL Logic,74LS139,Dual 1-of-4 decoder/demux,$0.60 ,,
,TLL Logic,74LS148,8-to-3 priority encoder,$1.20 ,,
,TLL Logic,74150,16-to-1 multiplexer,$2.00 ,,
,TLL Logic,74LS151,8 channel digital multiplexer,$0.60 ,,
,TLL Logic,74LS153,Dual 4-to-1 multiplexer,$0.60 ,,
,TLL Logic,74LS154,4-to-16 decoder/demux,$2.00 ,,
,TLL Logic,74LS155,Dual 2-to-4 decoder/demux,$0.70 ,,
,TLL Logic,74LS157,Quad 2-to-1 data selector/mux,$0.60 ,,
,TLL Logic,74LS160,BCD decade counter,$0.80 ,,
,TLL Logic,74LS161,4-bit binary counter,$0.80 ,,
,TLL Logic,74LS162,BCD decade counter,$0.80 ,,
,TLL Logic,74163,4-bit binary counter,$0.60 ,,
,TLL Logic,74LS164,4-bit parallel output serial shift register,$0.60 ,,
,TLL Logic,74LS165,8-bit parallel load serial shift register,$0.70 ,,
,TLL Logic,74LS166,8-bit parallel load shift register,$0.70 ,,
,TLL Logic,74LS174,Hex D flip-flop with clear,$0.20 ,,
,TLL Logic,74LS175,Quad D flip-flop with clear,$0.60 ,,
,TLL Logic,74LS191,Dual JK flip-flop with preset and clear,$0.60 ,,
,TLL Logic,74LS192,4-bit Binary full adder,$1.80 ,,
,TLL Logic,74LS193,4-bit magnitude comparator,$0.80 ,,
,TLL Logic,74LS195,Quad 2-input XOR,$0.40 ,,
,TLL Logic,74LS196,Decade counter,$0.80 ,,
,TLL Logic,74LS197,8-bit Shift Register,$0.80 ,,
,TLL Logic,74199,Divide-by-12 counter,$0.80 ,,
,TLL Logic,74S201,4-bit Binary Counter,$1.00 ,,
,TLL Logic,74LS221,4-bit shift register,$0.70 ,,
,TLL Logic,74S225,Dual JK flip-flop with clear,$3.50 ,,
,TLL Logic,74LS240,Dual JK pos edge triggered flip-flop,$0.60 ,,
,TLL Logic,74LS241,Dual JK edge triggered flip-flop,$0.80 ,,
,TLL Logic,74LS244,Monostable multivibrator,$0.60 ,,
,TLL Logic,74LS245,Retrig Monostable Multivibrator,$0.60 ,,
,TLL Logic,74LS251,Quad 3-state bus buffer,$0.90 ,,
,TLL Logic,74LS257,Quad 2-input pos NAND (Schmitt Trigger),$0.80 ,,
,TLL Logic,74LS259,13-input NAND,$0.80 ,,
,TLL Logic,74LS266,Quad 2-input XOR (OC),$0.60 ,,
,TLL Logic,74LS273,3-to-8 line decoder/demux,$0.80 ,,
,TLL Logic,74LS280,Dual 1-of-4 decoder/demux,$0.40 ,,
,TLL Logic,74LS298,8-to-3 priority encoder,$0.90 ,,
,TLL Logic,74LS299,16-to-1 multiplexer,$0.90 ,,
,TLL Logic,74LS367,8 channel digital multiplexer,$0.80 ,,
,TLL Logic,74LS368,Dual 4-to-1 multiplexer,$0.70 ,,
,TLL Logic,74LS373,4-to-16 decoder/demux,$0.70 ,,
,TLL Logic,74LS374,Dual 2-to-4 decoder/demux,$0.70 ,,
,TLL Logic,74LS390,Quad 2-to-1 data selector/mux,$0.80 ,,
,TLL Logic,74LS393,BCD decade counter,$0.60 ,,
,TLL Logic,74LS395,4-bit binary counter,$1.30 ,,
,TLL Logic,74LS540,BCD decade counter,$1.30 ,,
,CMOS Logic,CD4001,Quad 2-input NOR,$0.40 ,,
,CMOS Logic,CD4002,Dual 4-input NOR,$0.50 ,,
,CMOS Logic,CD4007,Dual complementary pair plus inverter,$0.50 ,,
,CMOS Logic,CD4008,4-bit full adder with parallel carry,$0.90 ,,
,CMOS Logic,CD4009,Inverting hex buffer/converter,$0.80 ,,
,CMOS Logic,CD4011,Quad 2-input NAND,$0.40 ,,
,CMOS Logic,CD4012,Dual 4-input NAND,$0.50 ,,
,CMOS Logic,CD4013,Dual D flip-flop with set and reset,$0.50 ,,
,CMOS Logic,CD4015,Dual 4-stage static shift register,$0.50 ,,
,CMOS Logic,CD4016,Quad bilateral switch,$0.50 ,,
,CMOS Logic,CD4017,Decade counter,$0.60 ,,
,CMOS Logic,CD4018,Divide By N Counter,$0.60 ,,
,CMOS Logic,CD4020,14-stage binary/ripple counter,$0.70 ,,
,CMOS Logic,CD4023,Triple 3-Input NAND,$0.50 ,,
,CMOS Logic,CD4024,7-stage binary/ripple counter,$0.60 ,,
,CMOS Logic,CD4025,Triple 3-input NOR,$0.50 ,,
,CMOS Logic,CD4027,Dual JK flip-flop master-slave with reset,$0.60 ,,
,CMOS Logic,CD4028,BCD to decimal decoder,$0.80 ,,
,CMOS Logic,CD4030,Quad 2-input XOR,$0.60 ,,
,CMOS Logic,CD4033,Decade counter/divider,$1.20 ,,
,CMOS Logic,CD4035,4-stage PIPO shift register,$0.90 ,,
,CMOS Logic,CD4040,12-stage binary counter,$0.60 ,,
,CMOS Logic,CD4041,Quad true/compliment buffer,$0.80 ,,
,CMOS Logic,CD4042,Quad clocked D-latch,$0.60 ,,
,CMOS Logic,CD4044,Quad 3-state R/S latch NAND,$0.80 ,,
,CMOS Logic,CD4046,Phase Locked Loop,$0.70 ,,
,CMOS Logic,CD4047,Monostable/Astable multivibrator,$1.00 ,,
,CMOS Logic,CD4049,Hex buffer / converter inverting,$0.50 ,,
,CMOS Logic,CD4050,Hex buffer / converter non-inverting,$0.50 ,,
,CMOS Logic,CD4051,8-channel MUX,$0.70 ,,
,CMOS Logic,CD4052,Differential 4-channel analog mux/demux,$0.80 ,,
,CMOS Logic,CD4053,Triple 1-Channel analog multiplexer,$0.70 ,,
,CMOS Logic,CD4054,4 segment LCD driver,$0.90 ,,
,CMOS Logic,CD4056,BCD to 7 segment decoder / driver,$1.00 ,,
,CMOS Logic,CD4059,Programmable divide-by-N counter,$4.00 ,,
,CMOS Logic,CD4060,14-stage binary/ripple counter,$0.90 ,,
,CMOS Logic,CD4066,Quad bilateral switch,$0.70 ,,
,CMOS Logic,CD4068,8-input NAND/AND gate,$0.60 ,,
,CMOS Logic,CD4069,Hex inverter,$0.40 ,,
,CMOS Logic,CD4070,Quad 2-Input XOR,$0.50 ,,
,CMOS Logic,CD4071,Quad 2-input OR,$0.50 ,,
,CMOS Logic,CD4072,Dual 4-input OR,$0.50 ,,
,CMOS Logic,CD4073,Triple 3-input AND,$0.50 ,,
,CMOS Logic,CD4075,Triple 3-input OR,$0.50 ,,
,CMOS Logic,CD4077,Quad 2-input XNOR,$0.50 ,,
,CMOS Logic,CD4081,Quad 2-input AND,$0.40 ,,
,CMOS Logic,CD4089,Binary rate multiplier,$3.00 ,,
,CMOS Logic,CD4096,"Gated JK flip-flop MS, inverting or non inverting",$1.20 ,,
,CMOS Logic,CD4098,Dual monostable multivibrator,$1.60 ,,
,CMOS Logic,MC14469,Addressable UART,$15.00 ,,
,CMOS Logic,MC14495,BCD to 7 segment latch/decoder/driver,$6.00 ,,
,CMOS Logic,MC14502,Hex inverter/buffer with strobe,$1.30 ,,
,CMOS Logic,MC14503,Hex 3-state buffer,$1.00 ,,
,CMOS Logic,MC14504,"Hex level shifter, TTL-CMOS",$1.80 ,,
,CMOS Logic,CD4511,BCD to 7 segment latch/decoder/driver,$1.10 ,,
,CMOS Logic,CD4514,4 bit latch/4 to 16 line decoder,$2.00 ,,
,CMOS Logic,CD4518,Dual BCD up Counter,$0.80 ,,
,CMOS Logic,CD4520,Dual binary up counter,$1.00 ,,
,CMOS Logic,MC14534,BCD counter,$0.80 ,,
,CMOS Logic,MC14538,Dual precision monostable multivibrator,$0.80 ,,
,CMOS Logic,CD4543,BCD-to-7segment decoder,$0.80 ,,
,CMOS Logic,MC14555,Dual binary to 1-of-4 decoder/demux,$1.10 ,,
,CMOS Logic,MC14557,1 to 64 bit variable length shift register,$3.00 ,,
,CMOS Logic,CD4566,Industrial time base generator,$2.00 ,,
,CMOS Logic,MC14584,Hex schmitt trigger,$0.60 ,,
,CMOS Logic,74HC00,Quad 2-input NAND,$0.50 ,,
,CMOS Logic,74HC02,Quad 2-input NOR,$0.50 ,,
,CMOS Logic,74HC04,Hex inverter,$0.50 ,,
,CMOS Logic,74HC10,Triple 3-input NAND,$0.50 ,,
,CMOS Logic,74HC14,Hex Inverter Schmitt-trigger,$0.60 ,,
,CMOS Logic,74HC42,BCD to Decimal 4-to-10 Line Decoder,$0.80 ,,
,CMOS Logic,74HC74,Dual D Flip Flop,$0.60 ,,
,CMOS Logic,74HC86,Quad 2-input XOR,$0.60 ,,
,CMOS Logic,74HC112,Dual JK Flip Flop w/preset and clear,$0.60 ,,
,CMOS Logic,74HC138,3-To-8 Line Decoder,$0.70 ,,
,CMOS Logic,74HC139,Dual 2-To-4 Line Decoder,$0.80 ,,
,CMOS Logic,74HC151,1-of-8 Data Selector/Multiplexer,$0.70 ,,
,CMOS Logic,74HC160,4-Bit Decade Counter,$0.60 ,,
,CMOS Logic,74HC162,4-Bit Decade Counter,$0.80 ,,
,CMOS Logic,74HC165,8-Bit Shift Register,$0.80 ,,
,CMOS Logic,74ACT175,Quad D Flip Flop,$0.70 ,,
,CMOS Logic,74C244,Octal Buffer/Line Driver,$6.00 ,,
,CMOS Logic,74HC373,"Octal D Latch, tri state",$0.80 ,,
,CMOS Logic,74HC374,"Octal D Flip Flop, tri state",$0.80 ,,
,CMOS Logic,74C906,N-Channel Buffer,$3.40 ,,
,CMOS Logic,74C907,"P-Channel buffer, open drain",$3.40 ,,
,CMOS Logic,74C908,"Dual 30v Relay Driver, 250 mA soure",$4.60 ,,
,CMOS Logic,74C911,4-Digit LED Display Controller,$18.00 ,,
,CMOS Logic,74C915,N-Channel Buffer,$0.80 ,,
,CMOS Logic,74C917,6-Digit LED Display Controller,$17.00 ,,
,CMOS Logic,74C926,4-Digit Controller w/ multipelexed 7-seg.,$14.00 ,,
,CMOS Logic,74HC4538,Dual Precision One Shot,$1.20 ,,
,ECL Logic,MC10102,Quad 2-input NOR,$2.20 ,,
,ECL Logic,MC10104,Quad 2-input AND,$2.20 ,,
,ECL Logic,MC10124,Quad TTL/ECL Translator,$3.20 ,,
,ECL Logic,MC10125,Quad ECL/TTL Translator,$3.20 ,,
,ECL Logic,MC10131,Dual type D master slave flip flop,$4.00 ,,
,ECL Logic,MC10135,Dual JK Master Slave flip flop,$4.40 ,,
,ECL Logic,MC10195,Hex inverter/buffer,$4.00 ,,
,ECL Logic,MC12014,Counter Control Logic,$4.00 ,,
,PLD Logic,GAL-16V8,GAL 16V8D-15LP,$2.00 ,,
,PLD Logic,GAL-22V10,GAL 22V10D-25LP,$3.50 ,,
,PLD Logic,PAL 16V8,PAL 16V8-15PC,$3.50 ,,
,PLD Logic,PAL 22V10,PAL 22V10D-10PC,$3.50 ,,
,PLD Logic,PIC 18F25K22,PIC 18F25K22,$2.60 ,,
,PLD Logic,SRAM,SRAM CY7C128A-25PC,$4.00 ,,
,Linear IC's,AD633,Analog Multiplier,$12.50 ,,
,Linear IC's,ADC0804,A/D Converter,$2.80 ,,
,Linear IC's,CA3046,"Transistor array, NPN",$0.80 ,,
,Linear IC's,CA3059,Zero-voltage switch,$1.80 ,,
,Linear IC's,CA3080,Operational Transconductance amp,$1.00 ,,
,Linear IC's,CA3081,"Transistor array, NPN,  common emitter",$0.80 ,,
,Linear IC's,CA3082,"Transistor array, NPN, common collector",$1.30 ,,
,Linear IC's,CA3083,"Transistor array, NPN, high current 100mA",$1.40 ,,
,Linear IC's,CA3089,IF amplifier/detector,$1.80 ,,
,Linear IC's,CA3127,"Transistor array, NPN high frequency",$5.50 ,,
,Linear IC's,CA3130,"Op amp, BiMOS, MOFSET in - CMOS out",$1.60 ,,
,Linear IC's,CA3140,"Op amp, BiMOS, MOFSET in, Bipolar out",$1.80 ,,
,Linear IC's,CA3161,BCD to 7 segment decoder/driver,$2.50 ,,
,Linear IC's,CA3162,ADC for 3 digit display,$8.00 ,,
,Linear IC's,DAC0808,8 Bit D/A Converter,$1.70 ,,
,Linear IC's,HV400,Mofset driver,$3.80 ,,
,Linear IC's,ICL7106,A/D Converter 3 1/2 Digit,$3.80 ,,
,Linear IC's,ICL7107,A/D Converter 3 1/2 Digit,$8.60 ,,
,Linear IC's,ICL7109,A/D Converter,$12.00 ,,
,Linear IC's,ICL7660,CMOS Voltage Converter,$2.00 ,,
,Linear IC's,INA118,Instrumentation Amp,$13.80 ,,
,Linear IC's,LF347,Quad JFET Op amp,$0.80 ,,
,Linear IC's,LF351,JFET Op-amp,$0.60 ,,
,Linear IC's,LF356,JFET Op amp,$1.20 ,,
,Linear IC's,LF357,JFET Op amp,$2.10 ,,
,Linear IC's,LF398,Sample and hold module,$1.40 ,,
,Linear IC's,LH0002,Buffer,$11.00 ,,
,Linear IC's,LM35,Precision Celsius Temperature Sensor,$1.30 ,,
,Linear IC's,LM301,"Op amp, general purpose",$0.60 ,,
,Linear IC's,LM308,"Op amp. precision, general purpose",$6.50 ,,
,Linear IC's,LM310,Voltage Follower,$7.65 ,,
,Linear IC's,LM311,Voltage Comparator,$0.60 ,,
,Linear IC's,LM318,"Op amp, high speed precision",$1.10 ,,
,Linear IC's,LM324,"Op amp, quad low power",$0.50 ,,
,Linear IC's,LM329,Precision reference Zener 6.9V,$0.60 ,,
,Linear IC's,LM335,Precision Temp Sensor,$1.40 ,,
,Linear IC's,LM339,Quad voltage comparator low power,$0.50 ,,
,Linear IC's,LM348,Quad Op Amp (741 type),$0.70 ,,
,Linear IC's,LM380,Audio Power Amp,$1.60 ,,
,Linear IC's,LM381,Dual Pre Amp,$3.00 ,,
,Linear IC's,LM386,Audio Power Amp,$1.00 ,,
,Linear IC's,LM393,Dual Voltage Comparator,$0.40 ,,
,Linear IC's,LM394,Supermatch Pair NPN transistors,$2.20 ,,
,Linear IC's,LM555,"Timer, general purpose",$0.40 ,,
,Linear IC's,LM556,"Dual Timer, general purpose",$0.80 ,,
,Linear IC's,LM565,Phase Locked Loop,$3.70 ,,
,Linear IC's,LM566,Voltage Controlled Oscillator,$2.20 ,,
,Linear IC's,LM567,Tone Decoder,$2.00 ,,
,Linear IC's,LM628,Precision Motion Controller,$27.00 ,,
,Linear IC's,LM741,"Op Amp, General Purpose",$0.50 ,,
,Linear IC's,LM833,Dual Audio Operational Amplifier,$1.40 ,,
,Linear IC's,LM1458,"Dual Op Amp,  general purpose",$0.60 ,,
,Linear IC's,LM1815,Adaptive Sensor Amp,$4.00 ,,
,Linear IC's,LM1889,Video modulator,$5.00 ,,
,Linear IC's,LM2917,Frequency to Voltage Converter,$1.80 ,,
,Linear IC's,LM3046,Transistor Array,,,
,Linear IC's,LM3900,Quad Amp,$1.00 ,,
,Linear IC's,LM3911,Temperature Controller,$2.80 ,,
,Linear IC's,LM3914,"LED Driver, dot/bar (LINEAR)",$2.40 ,,
,Linear IC's,LM3915,"LED Driver, dot/bar (LOG)",$2.00 ,,
,Linear IC's,LM4250,"Op Amp, Programmable",$1.40 ,,
,Linear IC's,MAX232,dual driver/receiver,$0.75 ,,
,Linear IC's,MC1350,IF Amp,$3.30 ,,
,Linear IC's,MC1488,Quad Line Driver,$0.50 ,,
,Linear IC's,MC1489,Quad Line Reciever,$0.50 ,,
,Linear IC's,MC1490,"Audio Amp, RF/IF",$0.60 ,,
,Linear IC's,MC1495,"Multiplier, Four Quadrant",$13.50 ,,
,Linear IC's,MC1496,Balance Modulator/Demodulator,$0.70 ,,
,Linear IC's,MC3340,Audio Attenuator,,,
,Linear IC's,MC3403,"Quad Op Amp, Differential input",$0.50 ,,
,Linear IC's,MC3448,Quad GPIB Bus Tranceiver,$2.40 ,,
,Linear IC's,MC3450,Quad Line Receiver,$1.40 ,,
,Linear IC's,MC3486,Quad Bus Receiver,$1.30 ,,
,Linear IC's,MC4741,Quad Op-amp,$2.20 ,,
,Linear IC's,MC14573,Quad CMOS op amp,,,
,Linear IC's,MC33091,"TMOS driver, high side",$0.70 ,,
,Linear IC's,MC34064,Undervoltage Sensing Circuit,$1.10 ,,
,Linear IC's,MC34082,"Dual Op Amp, JFET Input",$1.10 ,,
,Linear IC's,MC34151,Dual MOSFET driver,$2.00 ,,
,Linear IC's,MC34164,Under Voltage Sensing Circuit,$0.70 ,,
,Linear IC's,MPQ2907,"Transistor Array, PNP",$1.40 ,,
,Linear IC's,NE5532,Dual Op Amp,$1.00 ,,
,Linear IC's,NE5534,"Op Amp, Low Noise",$1.00 ,,
,Linear IC's,NTE989,Phase Locked Loop,$3.80 ,,
,Linear IC's,SG3524, Regulated Pulse Width Modulator,$1.60 ,,
,Linear IC's,TL074,JFET-input operational amplifier,$1.20 ,,
,Linear IC's,UGN3503,Hall Effect Sensor,$1.40 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",2N2222,"Transistor, NPN Switching",$0.20 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",2N2369,"Transistor, NPN, Switching",$0.20 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",2N2484,"Transistor, NPN, General Purpose",$0.40 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",2N2905,"Transistor, PNP, General Purpose",$0.20 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",2N2907,"Transistor, PNP, General Purpose",$0.20 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",2N3055,"Transistor, NPN, High Power",$1.30 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",2N3393,"Transistor, NPN, General Purpose Amplifier",$0.50 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",2N3704,"Transistor, NPN, General Purpose Amplifier",$0.30 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",2N3767,"Transistor, NPN, Power",$2.00 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",2N3903,"Transistor, NPN, GP Amplifier, Comp to 2N3905",$0.30 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",2N3904,"Transistor, NPN, GP Amplifier, Comp to 2N3906",$0.20 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",2N3905,"Transistor, PNP, GP Amplifier, Comp to 2N3903",$0.20 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",2N3906," Transistor, PNP, GP Amplifier, Comp to 2N3904",$0.20 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",2N4240,"Transistor, NPN, Medium Power, High Voltage",$2.60 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",2N4249,"Transistor, PNP, Low Noise Amplifier",$0.30 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",2N4258,"Transistor, PNP, Switching",$0.30 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",2N4393,"JFET, N-Channel, Switch",$1.40 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",2N5087,"Transistor, PNP, GP Amplifier",$0.50 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",2N5089,"Transistor, NPN, GP Amplifier",$0.30 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",2N5460,"JFET, P-Channel, Amplifier",$0.90 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",2N5486,"JFET, N-Channel, RF Amplifier",$0.40 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",2N5769,"Transistor, NPN, Switching",$0.30 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",2N5770,"Transistor, NPN, RF",$0.40 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",2N5771,"Transistor, PNP, Switching",$2.00 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",2N6107,"Transistor, PNP, Power, Comp to 2N6292",$1.20 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",2N6292,"Transistor, NPN, Power, Comp to 2N6107",$1.30 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",2N6423,"Transistor, PNP, Medium Power",$2.30 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",2N6476,"Transistor, PNP, Medium Power",$1.50 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",2N7000,"MOSFET,  N-channel, Small Signal",$0.30 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",BS107,"MOSFET,  N-channel, Small Signal",$0.40 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",BS170,"MOSFET, N-channel, Switching",$0.40 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",MJ2501,"Transistor, PNP, Power, Comp to MJ3001",$2.20 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",MJ2955,"Transistor, PNP, High Power",$1.90 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",MJ3001,"Transistor, NPN, Power, Comp to MJ2501",$2.30 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",MJ10024,"Transistor, NPN, Power Darlington",,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",MJE370,"Transistor, PNP, Medium Power, Comp to MJE520",$0.90 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",MJE700,"Transistor, PNP, Medium Power, Comp to MJE800",$1.50 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",MJE800,"Transistor, NPN, Medium Power, Comp to MJE700",$1.50 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",MJE15032,"Transistor NPN, Power, Comp to MJE15033",$1.20 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",MJE15033,"Transistor PNP, Power, Comp to MJE15032",$1.20 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",MJE2955,"Transistor, PNP, GP Switching, Comp to MJE3055",$1.10 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",MJE3055,"Transistor, NPN, GP Switching, Comp to MJE2955",$1.10 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",MJF32C,"Transistor, PNP, Power",$1.10 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",MJF18006,"Transistor, Switch Mode Power",$1.10 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",MPF 102,"JFET, N-Channel, RF amplifier",$0.20 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",MPS A05,"Transistor, NPN, Amplifier",$0.30 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",MPS A06,"Transistor, NPN, Amplifier",$0.30 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",MPS A13,"Transistor, NPN darlington",$0.20 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",MPS A20," Transistor, NPN amplifier",$0.30 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",MPS A42,"Transistor, NPN high voltage amplifier",$0.40 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",MPS A56,"Transistor, PNP amplifier",$0.40 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",MPS A63,"Transistor, PNP darlington",$0.40 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",MPS A92,"Transistor, PNP high voltage amplifier",$0.40 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",MTP 10N10E,"MOSFET, N-channel power",$1.80 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",MTP 12N10E,"MOSFET, N-channel power",$2.00 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",MTP3055,"MOSFET, N-Channel, Power",$1.00 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",PN4356,"Transistor, PNP, Amplifier",$0.60 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",SD214DE,"FET, N-channel DMOS",$2.00 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",TIP29,"Transistor, NPN, Power, Compliment to TIP30",$0.50 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",TIP30,"Transistor, PNP, Power, Compliment to TIP 29",$0.60 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",TIP33C,"Transistor, NPN, Power, Compliment to TIP34C",$1.70 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",TIP34C,"Transistor, PNP, Power, Compliment to TIP 33C",$1.70 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",TIP110,"Transistor, NPN, Power Darlington",$0.80 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",TIP121,"Transistor, NPN, Power Darlington, Compliment to TIP126",$0.80 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",TIP122,"Transistor, NPN Power Darlington",$0.80 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",TIP126,"Transistor, PNP, Power Darlington, Compliment to TIP121",$0.80 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",TIS 93,"Transistor, PNP, General Purpose",$0.30 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",U310,"JFET, N-channel, HF Amplifier",$1.50 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",HSINK,Heat Sink for TO-220 Type,$0.40 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",IRF510,"MOSFET, N-Channel 100V, 5.6A",$1.00 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",IRF520,"MOSFET, N-Channel 100V, 10A",$1.00 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",IRF530,"MOSFET, N-Channel 100V, 14A",$1.00 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",IRF540,"MOSFET, N-Channel 100V, 27A",$1.00 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",IRF620,"MOSFET, N-Channel 200V, 6A",$1.00 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",IRF630,"MOSFET, N-Channel 200V, 9A",$1.00 ,,
