Type,Value,Cost,INSTOCK
"5%, 1/2W",22k,$0.10 ,TRUE
"5%, 1/2W",24k,$0.10 ,TRUE
"5%, 1/2W",27k,$0.10 ,TRUE
"5%, 1/2W",30k,$0.10 ,TRUE
"5%, 1/2W",33k,$0.10 ,TRUE
"5%, 1/2W",36k,$0.10 ,TRUE
"5%, 1/2W",39k,$0.10 ,TRUE
"5%, 1/2W",43k,$0.10 ,TRUE
"5%, 1/2W",47k,$0.10 ,TRUE
"5%, 1/2W",51k,$0.10 ,TRUE
"5%, 1/2W",56k,$0.10 ,TRUE
"5%, 1/2W",62k,$0.10 ,TRUE
"5%, 1/2W",68k,$0.10 ,TRUE
"5%, 1/2W",75k,$0.10 ,TRUE
"5%, 1/2W",82k,$0.10 ,TRUE
"5%, 1/2W",91k,$0.10 ,TRUE
"5%, 1/2W",100k,$0.10 ,TRUE
"5%, 1/2W",110k,$0.10 ,TRUE
"5%, 1/2W",120k,$0.10 ,TRUE
"5%, 1/2W",130k,$0.10 ,TRUE
"5%, 1/2W",150k,$0.10 ,TRUE
"5%, 1/2W",160k,$0.10 ,TRUE
"5%, 1/2W",180k,$0.10 ,TRUE
"5%, 1/2W",200k,$0.10 ,TRUE
"5%, 1/2W",220k,$0.10 ,TRUE
"5%, 1/2W",240k,$0.10 ,TRUE
"5%, 1/2W",270k,$0.10 ,TRUE
"5%, 1/2W",300k,$0.10 ,TRUE
"5%, 1/2W",330k,$0.10 ,TRUE
"5%, 1/2W",360k,$0.10 ,TRUE
"5%, 1/2W",390k,$0.10 ,TRUE
"5%, 1/2W",430k,$0.10 ,TRUE
"5%, 1/2W",470k,$0.10 ,TRUE
"5%, 1/2W",510k,$0.10 ,TRUE
"5%, 1/2W",560k,$0.10 ,TRUE
"5%, 1/2W",620k,$0.10 ,TRUE
"5%, 1/2W",680k,$0.10 ,TRUE
"5%, 1/2W",750k,$0.10 ,TRUE
"5%, 1/2W",820k,$0.10 ,TRUE
"5%, 1/2W",910k,$0.10 ,TRUE
"5%, 1/2W",1.0M,$0.10 ,TRUE
"5%, 1/2W",1.1M,$0.10 ,TRUE
"5%, 1/2W",1.2M,$0.10 ,TRUE
"5%, 1/2W",1.3M,$0.10 ,TRUE
"5%, 1/2W",1.5M,$0.10 ,TRUE
"5%, 1/2W",1.6M,$0.10 ,TRUE
"5%, 1/2W",1.8M,$0.10 ,TRUE
"5%, 1/2W",2.0M,$0.10 ,TRUE
"5%, 1/2W",2.2M,$0.10 ,TRUE
"5%, 1/2W",2.4M,$0.10 ,TRUE
"5%, 1/2W",2.7M,$0.10 ,TRUE
"5%, 1/2W",3.0M,$0.10 ,TRUE
"5%, 1/2W",3.3M,$0.10 ,TRUE
"5%, 1/2W",3.6M,$0.10 ,TRUE
"5%, 1/2W",3.9M,$0.10 ,TRUE
"5%, 1/2W",4.3M,$0.10 ,TRUE
"5%, 1/2W",4.7M,$0.10 ,TRUE
"5%, 1/2W",5.1M,$0.10 ,TRUE
"5%, 1/2W",5.2M,$0.10 ,TRUE
"5%, 1/2W",5.6M,$0.10 ,TRUE
"5%, 1/2W",6.8M,$0.10 ,TRUE
"5%, 1/2W",7.5M,$0.10 ,TRUE
"5%, 1/2W",8.2M,$0.10 ,TRUE
"5%, 1/2W",9.1M,$0.10 ,TRUE
"5%, 1/2W",10M,$0.10 ,TRUE
"5%, 1W",0.5,$0.20 ,TRUE
"5%, 1W",1,$0.20 ,TRUE
"5%, 1W",1.2,$0.20 ,TRUE
"5%, 1W",1.5,$0.20 ,TRUE
"5%, 1W",1.8,$0.20 ,TRUE
"5%, 1W",2.2,$0.20 ,TRUE
"5%, 1W",2.7,$0.20 ,TRUE
"5%, 1W",3.3,$0.20 ,TRUE
"5%, 1W",3.9,$0.20 ,TRUE
"5%, 1W",4.7,$0.20 ,TRUE
"5%, 1W",5.1,$0.20 ,TRUE
"5%, 1W",5.6,$0.20 ,TRUE
"5%, 1W",6.8,$0.20 ,TRUE
"5%, 1W",8.2,$0.20 ,TRUE
"5%, 1W",10,$0.20 ,TRUE
"5%, 1W",12,$0.20 ,TRUE
"5%, 1W",13,$0.20 ,TRUE
"5%, 1W",15,$0.20 ,TRUE
"5%, 1W",18,$0.20 ,TRUE
"5%, 1W",22,$0.20 ,TRUE
"5%, 1W",27,$0.20 ,TRUE
"5%, 1W",33,$0.20 ,TRUE
"5%, 1W",39,$0.20 ,TRUE
"5%, 1W",47,$0.20 ,TRUE
"5%, 1W",56,$0.20 ,TRUE
"5%, 1W",68,$0.20 ,TRUE
"5%, 1W",82,$0.20 ,TRUE
"5%, 1W",100,$0.20 ,TRUE
"5%, 1W",120,$0.20 ,TRUE
"5%, 1W",150,$0.20 ,TRUE
"5%, 1W",180,$0.20 ,TRUE
"5%, 1W",220,$0.20 ,TRUE
"5%, 1W",270,$0.20 ,TRUE
"5%, 1W",330,$0.20 ,TRUE
"5%, 1W",390,$0.20 ,TRUE
"5%, 1W",470,$0.20 ,TRUE
"5%, 1W",510,$0.20 ,TRUE
"5%, 1W",560,$0.20 ,TRUE
"5%, 1W",680,$0.20 ,TRUE
"5%, 1W",820,$0.20 ,TRUE
"5%, 1W",1.0k,$0.20 ,TRUE
"5%, 1W",1.2k,$0.20 ,TRUE
"5%, 1W",1.5k,$0.20 ,TRUE
"5%, 1W",1.8k,$0.20 ,TRUE
"5%, 1W",2.2k,$0.20 ,TRUE
"5%, 1W",2.7k,$0.20 ,TRUE
"5%, 1W",3.3k,$0.20 ,TRUE
"5%, 1W",3.9k,$0.20 ,TRUE
"5%, 1W",4.7k,$0.20 ,TRUE
"5%, 1W",5.6k,$0.20 ,TRUE
"5%, 1W",6.8k,$0.20 ,TRUE
"5%, 1W",8.2k,$0.20 ,TRUE
"5%, 1W",10k,$0.20 ,TRUE
"5%, 1W",12k,$0.20 ,TRUE
"5%, 1W",15k,$0.20 ,TRUE
"5%, 1W",18k,$0.20 ,TRUE
"5%, 1W",22k,$0.20 ,TRUE
"5%, 1W",27k,$0.20 ,TRUE
"5%, 1W",33k,$0.20 ,TRUE
"5%, 1W",39k,$0.20 ,TRUE
"5%, 1W",47k,$0.20 ,TRUE
"5%, 1W",56k,$0.20 ,TRUE
"5%, 1W",62k,$0.20 ,TRUE
"5%, 1W",82k,$0.20 ,TRUE
"5%, 1W",100k,$0.20 ,TRUE
"5%, 1W",120k,$0.20 ,TRUE
"5%, 1W",150k,$0.20 ,TRUE
"5%, 1W",180k,$0.20 ,TRUE
"5%, 1W",220k,$0.20 ,TRUE
"5%, 1W",270k,$0.20 ,TRUE
"5%, 1W",330k,$0.20 ,TRUE
"5%, 1W",390k,$0.20 ,TRUE
"5%, 1W",470k,$0.20 ,TRUE
"5%, 1W",560k,$0.20 ,TRUE
"5%, 1W",680k,$0.20 ,TRUE
"5%, 1W",820k,$0.20 ,TRUE
"5%, 1W",1.0M,$0.20 ,TRUE
"5%, 1W",1.2M,$0.20 ,TRUE
"5%, 1W",1.5M,$0.20 ,TRUE
"5%, 1W",1.8M,$0.20 ,TRUE
"5%, 1W",2.2M,$0.20 ,TRUE
"5%, 1W",2.7M,$0.20 ,TRUE
"5%, 1W",3.3M,$0.20 ,TRUE
"5%, 1W",3.9M,$0.20 ,TRUE
"5%, 1W",4.7M,$0.20 ,TRUE
"5%, 1W",5.6M,$0.20 ,TRUE
"5%, 1W",6.8M,$0.20 ,TRUE
"5%, 1W",8.2M,$0.20 ,TRUE
"5%, 1W",10M,$0.20 ,TRUE
"5%, 2W",1,$0.25 ,TRUE
"5%, 2W",2,$0.25 ,TRUE
"5%, 2W",3,$0.25 ,TRUE
"5%, 2W",3.9,$0.25 ,TRUE
"5%, 2W",5.1,$0.25 ,TRUE
"5%, 2W",10,$0.25 ,TRUE
"5%, 2W",33,$0.25 ,TRUE
"5%, 2W",56,$0.25 ,TRUE
"5%, 2W",75,$0.25 ,TRUE
"5%, 2W",100,$0.25 ,TRUE
"5%, 2W",200,$0.25 ,TRUE
"5%, 2W",330,$0.25 ,TRUE
"5%, 2W",560,$0.25 ,TRUE
"5%, 2W",1.0k,$0.25 ,TRUE
"5%, 2W",1.2k,$0.25 ,TRUE
"5%, 2W",4.7k,$0.25 ,TRUE
"5%, 2W",8.2k,$0.25 ,TRUE
"5%, 2W",10k,$0.25 ,TRUE
"5%, 2W",15k,$0.25 ,TRUE
"5%, 2W",56k,$0.25 ,TRUE
"5%, 2W",100k,$0.25 ,TRUE
"5%, 2W",220k,$0.25 ,TRUE
"5%, 2W",470k,$0.25 ,TRUE
"5%, 2W",1.0M,$0.25 ,TRUE
"5%, 5W",0.1,$0.50 ,TRUE
"5%, 5W",0.22,$0.50 ,TRUE
"5%, 5W",0.27,$0.50 ,TRUE
"5%, 5W",0.47,$0.50 ,TRUE
"5%, 5W",1,$0.50 ,TRUE
"5%, 5W",2,$0.50 ,TRUE
"5%, 5W",5,$0.50 ,TRUE
"5%, 5W",8.2,$0.50 ,TRUE
"5%, 5W",10,$0.50 ,TRUE
"5%, 5W",20,$0.50 ,TRUE
"5%, 5W",22,$0.50 ,TRUE
"5%, 5W",33,$0.50 ,TRUE
"5%, 5W",47,$0.50 ,TRUE
"5%, 5W",50,$0.50 ,TRUE
"5%, 5W",75,$0.50 ,TRUE
"5%, 5W",100,$0.50 ,TRUE
"5%, 5W",150,$0.50 ,TRUE
"5%, 5W",200,$0.50 ,TRUE
"5%, 5W",330,$0.50 ,TRUE
"5%, 5W",500,$0.50 ,TRUE
"5%, 5W",820,$0.50 ,TRUE
"5%, 5W",1.0k,$0.50 ,TRUE
"5%, 5W",2.0k,$0.50 ,TRUE
"5%, 5W",5.0k,$0.50 ,TRUE
"5%, 5W",10k,$0.50 ,TRUE
"5%, 5W",20k,$0.50 ,TRUE
"5%, 5W",1.0k,$0.50 ,TRUE
